187.738962  0.000000 -0.679697  0.025604  0.023367
187.743302  0.000000 -0.679669  0.025595  0.023374
187.748690  0.000000 -0.679634  0.025583  0.023384
187.753104  0.000000 -0.679605  0.025573  0.023391
187.755703  0.000000 -0.679588  0.025567  0.023396
187.756869  0.000000 -0.679580  0.025565  0.023398
187.757186  0.000000 -0.679578  0.025566  0.023398
187.756304  0.000000 -0.679584  0.025567  0.023399
187.752423  0.000000 -0.679609  0.025568  0.023399
187.743003  0.000000 -0.679670  0.025568  0.023399
187.726923  0.000000 -0.679775  0.025567  0.023398
187.707018  0.000000 -0.679904  0.025566  0.023397
187.690494  0.000000 -0.680012  0.025565  0.023396
187.685245  0.000000 -0.680046  0.025565  0.023395
187.694084  0.000000 -0.679988  0.025565  0.023395
187.712463  0.000000 -0.679869  0.025565  0.023394
187.732137  0.000000 -0.679741  0.025565  0.023394
187.746480  0.000000 -0.679648  0.025565  0.023394
187.752516  0.000000 -0.679609  0.025566  0.023394
187.749594  0.000000 -0.679628  0.025567  0.023394
187.737982  0.000000 -0.679703  0.025569  0.023393
187.719612  0.000000 -0.679823  0.025572  0.023392
187.699838  0.000000 -0.679951  0.025574  0.023391
187.686833  0.000000 -0.680036  0.025576  0.023389
187.687071  0.000000 -0.680034  0.025577  0.023388
187.700389  0.000000 -0.679947  0.025578  0.023388
187.720086  0.000000 -0.679819  0.025579  0.023388
187.738101  0.000000 -0.679702  0.025579  0.023389
187.749899  0.000000 -0.679626  0.025579  0.023389
187.755413  0.000000 -0.679590  0.025578  0.023388
187.756975  0.000000 -0.679580  0.025576  0.023388
187.756972  0.000000 -0.679580  0.025574  0.023387
187.756750  0.000000 -0.679581  0.025572  0.023386
187.756696  0.000000 -0.679581  0.025571  0.023385
187.756753  0.000000 -0.679581  0.025571  0.023384
187.756805  0.000000 -0.679581  0.025570  0.023384
187.756818  0.000000 -0.679581  0.025570  0.023383
187.756813  0.000000 -0.679581  0.025568  0.023383
187.756818  0.000000 -0.679581  0.025563  0.023383
187.756829  0.000000 -0.679581  0.025556  0.023384
187.756813  0.000000 -0.679581  0.025547  0.023384
187.756742  0.000000 -0.679581  0.025538  0.023383
187.756667  0.000000 -0.679582  0.025534  0.023382
187.756734  0.000000 -0.679581  0.025534  0.023380
187.756959  0.000000 -0.679580  0.025539  0.023378
187.756597  0.000000 -0.679582  0.025545  0.023376
